,latitude,longitude
1027,-43.25,-76.25
1028,-43.25,-76.0
1029,-43.25,-75.75
1030,-43.25,-75.5
1031,-43.25,-75.25
1032,-43.25,-75.0
1033,-43.25,-74.75
1034,-43.25,-74.5
1035,-43.25,-73.25
1036,-43.0,-77.5
1037,-43.0,-77.25
1038,-43.0,-77.0
1039,-43.0,-76.75
1040,-43.0,-76.5
1041,-43.0,-76.25
1042,-43.0,-76.0
1043,-43.0,-75.75
1044,-43.0,-75.5
1045,-43.0,-75.25
1046,-43.0,-75.0
1047,-43.0,-74.75
1048,-43.0,-74.5
1049,-43.0,-73.25
1050,-43.0,-73.0
1051,-42.75,-77.5
1052,-42.75,-77.25
1053,-42.75,-77.0
1054,-42.75,-76.75
1055,-42.75,-76.5
1056,-42.75,-76.25
1057,-42.75,-76.0
1058,-42.75,-75.75
1059,-42.75,-75.5
1060,-42.75,-75.25
1061,-42.75,-75.0
1062,-42.75,-74.75
1063,-42.75,-74.5
1064,-42.75,-74.25
1065,-42.75,-73.25
1066,-42.5,-77.5
1067,-42.5,-77.25
1068,-42.5,-77.0
1069,-42.5,-76.75
1070,-42.5,-76.5
1071,-42.5,-76.25
1072,-42.5,-76.0
1073,-42.5,-75.75
1074,-42.5,-75.5
1075,-42.5,-75.25
1076,-42.5,-75.0
1077,-42.5,-74.75
1078,-42.5,-74.5
1079,-42.5,-74.25
1080,-42.5,-73.5
1081,-42.5,-73.0
1082,-42.25,-77.5
1083,-42.25,-77.25
1084,-42.25,-77.0
1085,-42.25,-76.75
1086,-42.25,-76.5
1087,-42.25,-76.25
1088,-42.25,-76.0
1089,-42.25,-75.75
1090,-42.25,-75.5
1091,-42.25,-75.25
1092,-42.25,-75.0
1093,-42.25,-74.75
1094,-42.25,-74.5
1095,-42.25,-74.25
1096,-42.25,-73.25
1097,-42.25,-73.0
1098,-42.0,-77.25
1099,-42.0,-77.0
1100,-42.0,-76.75
1101,-42.0,-76.5
1102,-42.0,-76.25
1103,-42.0,-76.0
1104,-42.0,-75.75
1105,-42.0,-75.5
1106,-42.0,-75.25
1107,-42.0,-75.0
1108,-42.0,-74.75
1109,-42.0,-74.5
1110,-42.0,-74.25
1111,-42.0,-73.25
1112,-42.0,-73.0
1113,-41.75,-77.25
1114,-41.75,-77.0
1115,-41.75,-76.75
1116,-41.75,-76.5
1117,-41.75,-76.25
1118,-41.75,-76.0
1119,-41.75,-75.75
1120,-41.75,-75.5
1121,-41.75,-75.25
1122,-41.75,-75.0
1123,-41.75,-74.75
1124,-41.75,-74.5
1125,-41.75,-74.25
1126,-41.75,-74.0
1127,-41.5,-77.25
1128,-41.5,-77.0
1129,-41.5,-76.75
1130,-41.5,-76.5
1131,-41.5,-76.25
1132,-41.5,-76.0
1133,-41.5,-75.75
1134,-41.5,-75.5
1135,-41.5,-75.25
1136,-41.5,-75.0
1137,-41.5,-74.75
1138,-41.5,-74.5
1139,-41.5,-74.25
1140,-41.5,-74.0
1141,-41.25,-77.25
1142,-41.25,-77.0
1143,-41.25,-76.75
1144,-41.25,-76.5
1145,-41.25,-76.25
1146,-41.25,-76.0
1147,-41.25,-75.75
1148,-41.25,-75.5
1149,-41.25,-75.25
